Title,API Title,Authors,Publisher,Published Date,Description,Page Count,Print Type,Categories,Average Rating,Ratings Count,Language
"Bob Books - Set 1: Beginning Readers Box Set | Phonics, Ages 4 and up, Kindergarten (Stage 1: Starting to Read)","Bob Books - More Beginning Readers Box Set Phonics, Ages 4 and Up, Kindergarten (Stage 1: Starting to Read)",['Lynn Maslen Kertell'],Bob Books,2021-05-04,"A companion set to the bestselling Bob Books Beginning Readers set, featuring the classic Bob Books characters and some new ones, too! This set is perfect for children who have read Bob Books Beginning Readers and need more practice before moving on.- Twelve humorous stories feature the beloved classic Bob Books characters and introduce some new friends, too!- Short vowels and three-letter words in simple sentences make Bob Books More Beginning Readers a fun confidence builder.- Katie Kath's simple but silly illustrations add a tickle to the words, keeping kids smiling as they read.Inside the box you'll find: - 12 easy-to-read, humorous books, 12 pages each- A parent card with tips for helping your child learn to readYour child will soon be joining the millions of happy kids who say, ""I read the whole book!""",0.0,BOOK,['Juvenile Fiction'],,,en
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",Harry Potter and the Philosopher's Stone,['J. K. Rowling'],Bloomsbury Publishing,2015,"Harry Potter lives in a cupboard under the stairs at his Aunt and Uncle's house. He is bullied by them and his spoilt cousin, and lives a very unremarkable life. But then Harry is transported to a world of magic and excitement.",258.0,BOOK,['Fiction'],,,en
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",Magic Tree House Collection: Books 1-8,['Mary Pope Osborne'],National Geographic Books,2001-10-09,Jack and Annie experience a series of time-travel adventures.,0.0,BOOK,['Juvenile Fiction'],,,en
Savia and Spendio and the Piggy Banks,My Piggy Bank,['Tina Benjamin'],Gareth Stevens Publishing LLLP,2014-12-15,"Why are piggy banks shaped like pigs? And more importantly, do they help us save money? Early readers will learn all about piggy banks in this fun book that takes a look at saving money with the help of a tiny pig-shaped friend. From coins like nickels and dimes to larger amounts of money, color photographs and accessible text explore one child’s quest to save for and buy a baseball glove. Readers will learn that sometimes you have to break the bank if you want to buy something new!",26.0,BOOK,['Juvenile Nonfiction'],,,en
Backyard Chickens: Who's Stealing the Corn,The Chicken Chick's Guide to Backyard Chickens,['Kathy Shea Mormino'],Voyageur Press (MN),2017-10,"Kathy Shea Mormino, aka The Chicken Chick, shares her wealth of experience as a chicken keeper in a fun and abundantly illustrated format in The Chicken Chick's Guide to Backyard Chickens.",183.0,BOOK,['Gardening'],,,en
"Robin and Naira: Burrito Buddies!: A toy friendship story for early readers, emotional, heartwarming and funny. A story about courage and being yourself with coloured illustrations",Buddy's New Buddy,['Christina Geist'],Random House Books for Young Readers,2022-07-12,"The newest picture book in the New York Times bestselling Buddy series is about being yourself through-and-through while going back to school and trying to make new buddies! After Buddy’s best friend moves away, he doesn’t know what to do: Who will he high five at school? Who will he play robo chargers with at lunch? Who will be his field trip partner? Buddy feels he has nothing in common with anyone.... Until a new student shows up who might just be a buddy in the making! And best of all: Buddy can be completely himself with her. This third book in New York Times bestselling author Christina Geist’s heartwarming and humorous series explores evergreen social-emotional themes like authenticity and friendship-building--right in time for back-to-school season.",22.0,BOOK,['Juvenile Fiction'],,,en
"Oh, the Places You'll Go!","Oh, the Places You'll Go! Read & Listen Edition",['Dr. Seuss'],Random House Books for Young Readers,2013-09-24,"Dr. Seuss’s wonderfully wise Oh, the Places You’ll Go! celebrates all of our special milestones—from graduations to birthdays and beyond! This Read & Listen edition features optional audio narration for compatible ebook readers. “[A] book that has proved to be popular for graduates of all ages since it was first published.”—The New York Times From soaring to high heights and seeing great sights to being left in a Lurch on a prickle-ly perch, Dr. Seuss addresses life’s ups and downs with his trademark humorous verse and whimsical illustrations. The inspiring and timeless message encourages readers to find the success that lies within, no matter what challenges they face. A perennial favorite for anyone starting a new phase in their life!",56.0,BOOK,['Juvenile Fiction'],,,en
Grumpy Monkey,Grumpy Monkey,['Suzanne Lang'],Random House Studio,2018-05-15,"The hilarious #1 New York Times bestselling classic picture book about a chimpanzee in a very bad mood--perfect for young children learning how to deal with confusing feelings. Jim the chimpanzee is in a terrible mood for no good reason. His friends can't understand it--how can he be in a bad mood when it's SUCH a beautiful day? They have lots of suggestions for how to make him feel better. But Jim can't take all the advice...and has a BIT of a meltdown. Could it be that he just needs a day to feel grumpy? Suzanne and Max Lang bring hilarity and levity to this very important lesson on emotional literacy, demonstrating to kids that they are allowed to feel their feelings. Grumpy Monkey is the first title in a series of books targeted at different ages that encourage kids to feel their feelings.",20.0,BOOK,['Juvenile Fiction'],,,en
The World Needs the Wonder You See,The World Needs the Wonder You See,['Joanna Gaines'],Tommy Nelson,2025-01-28,"New York Times bestselling author Joanna Gaines welcomes you on an imaginative adventure through nature’s small surprises and invites you and your children to be curious, slow down, and take in everyday wonders. With vibrant art by Julianna Swaney that is full of dreamy details, this whimsical picture book will inspire your family to pause busy schedules and explore together. Inspired by Joanna’s young son’s insistence to “look up!” and the shift to a slower perspective she enjoyed after having her last child, this book shares the delight of taking a friend by the hand, getting your boots muddy, and discovering the secrets just waiting to be uncovered. In The World Needs the Wonder You See, you and your kids will slow your pace, look closely, and find joy as you make discoveries together; join a diverse cast of children on a journey below leaves, amidst treetops, under ocean waves, through rabbits’ tunnels, and into the clouds; imagine hidden worlds in which ladybugs live in tiny cabins, snails journey through mushroom fields, and stars paint stories across the sky; and learn to notice the amazing beauty that children naturally see. This companion book to The World Needs Who You Were Made to Be is perfect for children ages 4–8; grandparents, parents, teachers, and librarians; classroom story times and discussions about valuing others’ ideas and perspectives; households that enjoy watching Chip and Joanna on Magnolia Network and HGTV’s Fixer Upper; and holiday or Christmas gift-giving, birthdays, graduations, or other celebrations. Celebrate the wonder of the world through a child’s eyes in this imaginative book about all the beauty, hope, and surprise hiding in plain sight. Look up. Lean in. Bend low. Reach for new heights. Every day, from every place, there’s more to see in this great big world of possibility.",36.0,BOOK,['Juvenile Fiction'],,,en
Pete the Cat 12-Book Phonics Fun!: A Box of 12 Mini-Books Featuring Short and Long Vowel Sounds (My First I Can Read),Pete the Cat 12-Book Phonics Fun!,"['James Dean', 'Kimberly Dean']",HarperCollins,2020-07-14,"Pete the Cat helps kids learn to read with phonics! Who knew reading could be so groovy? This set of 12 simple and fun Pete the Cat storybooks is an excellent choice to share with your beginning reader. It’s a fun way to learn to read and as a supplement for activity books for children ages 3 to 6. Enter into the world of reading with My First I Can Read! Reviewed by a phonics expert, these 12 short full-color books feature repeated examples of short and long vowel sounds and common sight words. Each of the simple stories in this box set is designed to teach kids how to master reading while rocking out with Pete the Cat. Phonics teaches children the relationship between letters and the sounds they make. A child who has mastered these relationships has an excellent foundation for learning to read and spell. According to the National Institute of Child Health & Human Development, a child who has learned phonics has a method to recognize familiar words and “decode” unfamiliar ones.",173.0,BOOK,['Juvenile Fiction'],,,en
"365 Bedtime Stories and Rhymes: Short Bedtime Stories, Nursery Rhymes and Fairy Tales Collections for Children",365 Bedtime Stories and Rhymes,"['Cottage Door Press', 'Parragon Books']",COTTAGE DOOR Press,2018-10-02,"Snuggle up with your favorite nursery rhymes and drift into the magical worlds of all your most beloved fairytale characters. This beautifully illustrated storytime treasury padded keepsake brings together the talents of illustrators from around the world with well-loved stories and rhymes both kiddos and their grown-ups will enjoy. Find new stories and adventures to fill your imagination every night with this bedtime family favorite. Sweet Dreams Short stories designed to quickly entertain without cutting into precious bedtime schedules Bond with your child through family storytime and strengthen a love for books and reading Over 50 classic stories and rhymes included: Twinkle Twinkle Little Star, Little Bo-Peep, Miss Mary Mack, Hickory Dickory Dock, Hansel and Gretel, The Lion and the Mouse, The Ugly Duckling and more Gorgeous illustrations and beautifully written tales will bring a smile from ear to ear Collect all titles available in the padded treasury book collection",0.0,BOOK,['Juvenile Fiction'],,,en
